id,image
nb-1000029,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Z%C3%BCrich%2C_von_der_obern_Strasse_gegen_den_H%C3%BCtliberg_aufgenommen_%3D_Z%C3%BCrich%2C_prise_de_la_route_sup%C3%A9rieure_vers_le_H%C3%BCtliberg_-_Collection_Gugelmann_-_GS-GUGE-83-7-1.tif&width=1024
nb-1000030,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Rathhaus_u._das_Kaffeehaus_zur_Saffran_%3D_L%27H%C3%B4tel_de_ville_et_le_Caf%C3%A9_Safran_-Randvignette_oben_links-_-_Collection_Gugelmann_-_GS-GUGE-83-7-2.tif&width=1024
nb-1000031,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Wellenberg_gegen_das_Stadthaus_%3D_Le_Wellenberg_vers_la_maison_de_ville_-Randvignette_oben_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-7-3.tif&width=1024
nb-1000032,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Salomon_Gessners_Denkmal_%3D_Le_monument_de_Salomon_Gessner_-Randvignette_oben_Mitte-_-_Collection_Gugelmann_-_GS-GUGE-83-7-4.tif&width=1024
nb-1000033,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_Wasserkirche_gegen_die_Meise_%3D_La_Biblioth%C3%A9que_%28Wasserkirche%29_vers_la_M%C3%A9sange_-Randvignette_oben_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-7-5.tif&width=1024
nb-1000034,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Kaufhaus_u._das_Kaffeehaus_z._Laterne_%3D_La_Douane_et_le_Caf%C3%A9_%C3%A0_la_Laterne_-Randvignette_oben_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-7-6.tif&width=1024
nb-1000035,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Die_Kronenporte_gegen_die_Stadt_%3D_La_Porte_sup%C3%A9rieure_%28Kronenporte%29_de_la_ville_-Randvignette_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-7-7.tif&width=1024
nb-1000036,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Eingang_in_d._Helmhaus_u._d._Grossm%C3%BCnster_%3D_L%27Entr%C3%A9e_du_Helmhaus_et_la_Cath%C3%A9drale_-Randvignette_Mitte_rechts-_-_Collection_Gugelmann_-_GS-GUGE-83-7-8.tif&width=1024
nb-1000037,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Helmhaus_gegen_den_Fraum%C3%BCnster_%3D_Le_Helmhaus_vers_l%27%C3%A9glise_Fraum%C3%BCnster_-Randvignette_unten_links-_-_Collection_Gugelmann_-_GS-GUGE-83-7-9.tif&width=1024
nb-1000038,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Der_Gasthof_zum_Schwert_gegen_die_Hauptwache_%3D_L%27H%C3%B4tel_de_l%27Ep%C3%A9e_vers_le_Corps_de_Garde_-Randvignette_unten_Mitte_links-_-_Collection_Gugelmann_-_GS-GUGE-83-7-10.tif&width=1024
nb-1000039,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/CH-NB_-_Das_Casino_%3D_Le_Casino_-Randvignette_unten_Mitte-_-_Collection_Gugelmann_-_GS-GUGE-83-7-11.tif&width=1024
